Particle_1,Particle_2,Particle_3,Particle_4,Particle_5,Particle_6,Particle_7,Particle_8,Particle_9,Particle_10,Particle_11,Particle_12,Particle_13,Particle_14,Average,STD
3.942135378999887e-05,4.493347605062582e-05,3.782953532427485e-05,3.472012148175129e-05,5.5024225112167344e-05,3.0306469232763574e-05,4.480950853845913e-05,3.327544305184147e-05,2.223123955208825e-05,0.0001430707246858,3.859192927474808e-05,3.975364688604408e-05,3.531772830426263e-05,3.6586278041695934e-05,4.541940566618009e-05,2.8042122925129904e-05
2.658259676429299e-05,3.3078382431153854e-05,3.565588100625437e-05,3.472012148175129e-05,3.4065633273640165e-05,3.0306469232763574e-05,3.494317991966787e-05,2.800390462139207e-05,2.223123955208825e-05,3.337568164438064e-05,3.3656110746073523e-05,3.834519982071364e-05,3.531772830426263e-05,3.6586278041695934e-05,3.2633457631437916e-05,4.224001306455645e-06
2.658259676429299e-05,3.3078382431153854e-05,3.565588100625437e-05,3.406821087241851e-05,3.4065633273640165e-05,3.0306469232763574e-05,3.080515208018539e-05,2.800390462139207e-05,2.223123955208825e-05,2.6966367710197173e-05,3.175825932042372e-05,3.834519982071364e-05,3.531772830426263e-05,3.6586278041695934e-05,3.169795021653444e-05,4.346883778306485e-06
2.658259676429299e-05,2.047737056508452e-05,3.565588100625437e-05,3.406821087241851e-05,3.329660217847777e-05,3.0306469232763574e-05,3.0691927704806206e-05,2.800390462139207e-05,2.223123955208825e-05,2.6966367710197173e-05,3.175825932042372e-05,2.7429246711112946e-05,3.1572222859204915e-05,3.3958861763962106e-05,2.949994006160565e-05,4.311310374110413e-06
2.658259676429299e-05,2.047737056508452e-05,2.1449202573830764e-05,3.406821087241851e-05,3.329660217847777e-05,2.765805397236632e-05,1.3459074643472751e-05,2.800390462139207e-05,2.223123955208825e-05,2.6966367710197173e-05,3.175825932042372e-05,2.7429246711112946e-05,3.1572222859204915e-05,2.1350876581701964e-05,2.6164516351861763e-05,5.5840809665589e-06
2.658259676429299e-05,2.047737056508452e-05,2.1449202573830764e-05,2.9548902572503324e-05,3.329660217847777e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,2.223123955208825e-05,2.6966367710197173e-05,3.175825932042372e-05,1.7184621467609006e-05,2.7623239443487014e-05,2.1350876581701964e-05,2.4375724953263872e-05,5.407954054344008e-06
2.658259676429299e-05,2.047737056508452e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,2.223123955208825e-05,2.6966367710197173e-05,2.7229116465169445e-05,1.7184621467609006e-05,2.5638082502243363e-05,2.1350876581701964e-05,2.276331856549854e-05,4.238203562773611e-06
2.658259676429299e-05,2.047737056508452e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,2.223123955208825e-05,2.6966367710197173e-05,2.7229116465169445e-05,1.7184621467609006e-05,2.5638082502243363e-05,2.1350876581701964e-05,2.276331856549854e-05,4.238203562773611e-06
2.658259676429299e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,2.223123955208825e-05,1.7710229834980656e-05,2.7229116465169445e-05,1.7184621467609006e-05,2.5638082502243363e-05,2.1350876581701964e-05,2.208450209288507e-05,4.260130119619088e-06
2.658259676429299e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,2.223123955208825e-05,1.7710229834980656e-05,2.7229116465169445e-05,1.7184621467609006e-05,2.5638082502243363e-05,2.1350876581701964e-05,2.208450209288507e-05,4.260130119619088e-06
2.658259676429299e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,2.223123955208825e-05,1.7710229834980656e-05,2.7229116465169445e-05,1.7184621467609006e-05,2.5638082502243363e-05,2.1350876581701964e-05,2.208450209288507e-05,4.260130119619088e-06
