Particle_1,Particle_2,Particle_3,Particle_4,Particle_5,Particle_6,Particle_7,Particle_8,Particle_9,Particle_10,Particle_11,Particle_12,Particle_13,Particle_14
3.942135378999887e-05,4.493347605062582e-05,3.782953532427485e-05,3.472012148175129e-05,5.5024225112167344e-05,3.0306469232763574e-05,4.480950853845913e-05,3.327544305184147e-05,2.223123955208825e-05,0.0001430707246858,3.859192927474808e-05,3.975364688604408e-05,3.531772830426263e-05,3.6586278041695934e-05
2.658259676429299e-05,3.3078382431153854e-05,3.565588100625437e-05,3.920489104221683e-05,3.4065633273640165e-05,3.707091831810644e-05,3.494317991966787e-05,2.800390462139207e-05,3.291667061602056e-05,3.337568164438064e-05,3.3656110746073523e-05,3.834519982071364e-05,3.8086671275389605e-05,4.5735719398804194e-05
4.083988796369845e-05,3.5269499990657144e-05,3.595475784750964e-05,3.406821087241851e-05,3.745665616851156e-05,3.9318564935055176e-05,3.080515208018539e-05,3.163500640851799e-05,2.7662335458958463e-05,2.6966367710197173e-05,3.175825932042372e-05,4.100339273888923e-05,3.931199922362516e-05,3.774959734042277e-05
3.727628496740169e-05,2.047737056508452e-05,3.834448042735985e-05,4.452301730586388e-05,3.329660217847777e-05,3.363718846154817e-05,3.0691927704806206e-05,2.896212018144311e-05,5.789078168726562e-05,0.0001182815142003,4.137297169611216e-05,2.7429246711112946e-05,3.1572222859204915e-05,3.3958861763962106e-05
4.169627615379549e-05,2.8773810609971752e-05,2.1449202573830764e-05,3.704994211036056e-05,3.4422003558463816e-05,2.765805397236632e-05,1.3459074643472751e-05,3.40572535348913e-05,3.8627679923700825e-05,3.440210337094676e-05,4.016393405402424e-05,4.023700928256983e-05,3.51527260576899e-05,2.1350876581701964e-05
3.966548412059002e-05,3.361318808682332e-05,3.57183719398907e-05,2.9548902572503324e-05,3.714487653653632e-05,3.876566497553654e-05,4.1007142637215816e-05,2.167374200015862e-05,4.193555769303466e-05,3.927488733042612e-05,4.335576016902214e-05,1.7184621467609006e-05,2.7623239443487014e-05,3.95910176230464e-05
4.169072941861667e-05,3.797099033641788e-05,3.994742529104856e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.8003386514104583e-05,3.06111747832635e-05,5.775330013769925e-05,3.5328282258772485e-05,3.390404439921663e-05,2.7229116465169445e-05,3.0029552877465516e-05,2.5638082502243363e-05,3.912231253441452e-05
3.7075257114646326e-05,2.8592512593393997e-05,3.2274541942179334e-05,3.653857769746377e-05,3.685780209603687e-05,3.081086188043562e-05,2.758930715279892e-05,3.84330764207868e-05,3.333518914502488e-05,3.1086515152917544e-05,3.413053195151558e-05,3.813724461454096e-05,3.7986870355466136e-05,3.8029846088902944e-05
6.837222186258324e-05,2.023007782371251e-05,3.5635043291318054e-05,3.9208783015612033e-05,4.58290688427551e-05,3.472017945361289e-05,3.733974353908068e-05,3.633938249499695e-05,3.993790147682773e-05,1.7710229834980656e-05,3.689652769673223e-05,3.773431176591753e-05,3.835403846703755e-05,3.491283950066245e-05
3.7616412194547856e-05,3.577757071318621e-05,3.009213507011468e-05,2.802390220027151e-05,5.756674731269852e-05,3.135771137694193e-05,2.717592703870605e-05,3.3697022551913095e-05,3.777404839188262e-05,3.51698172086936e-05,3.9620350656770354e-05,2.4500441067519e-05,7.165053589003694e-05,4.600237583847456e-05
3.390962043997481e-05,3.080850795284857e-05,3.0253359755578328e-05,3.071327932364233e-05,2.706630626050993e-05,3.723168026457915e-05,4.77885730150009e-05,2.871018333192251e-05,3.572574843329796e-05,3.64586243525504e-05,3.679066907700144e-05,4.028813922491567e-05,3.377950690867374e-05,3.99901601580009e-05
