Average,STD
4.541940566618009e-05,2.9100686238370798e-05
3.505153149129334e-05,4.735203740804677e-06
3.4985692004219306e-05,4.646278421746421e-06
4.126532790785307e-05,2.385652380559049e-05
3.2035710459127585e-05,8.419227780211581e-06
3.472160404256286e-05,7.914777780196987e-06
3.385817947408548e-05,9.382385795523792e-06
3.434843815757926e-05,3.759150460112505e-06
3.73728820761307e-05,1.1573875775446125e-05
3.8287499822268346e-05,1.2764014833179205e-05
3.496531132132118e-05,5.4835211251452504e-06
3.774573493343448e-05,1.0406498370354059e-05
3.4901799906268484e-05,6.062251796836438e-06
3.495394533884568e-05,7.633395753317264e-06
4.137782085854719e-05,1.875845241430933e-05
3.1546161822172516e-05,7.647043099875624e-06
3.744671261302896e-05,2.023466833125822e-05
3.334534653641468e-05,6.213158844177494e-06
3.790104875920377e-05,4.944136773542203e-06
3.52672233193631e-05,6.898876507224851e-06
3.511525324683452e-05,5.400590993330987e-06
3.3394626572201044e-05,7.811712175950777e-06
4.298508278880967e-05,3.443700414050225e-05
3.948529439813722e-05,1.2427191086043176e-05
3.5010414273414806e-05,5.980475466341627e-06
3.662171687657944e-05,7.690954962293142e-06
3.543491341224826e-05,4.807470686718518e-06
4.29222385069601e-05,2.048738077689981e-05
3.7134689452632864e-05,1.1521682089606409e-05
3.668524895010231e-05,5.138419881973849e-06
3.937650827324135e-05,1.595987228380068e-05
3.604131320084211e-05,6.36129707833189e-06
3.498945888440302e-05,4.3783085220998485e-06
3.547403557861624e-05,5.921791358949846e-06
3.963854034392347e-05,5.299178760652597e-06
3.357959713530147e-05,9.198389905124437e-06
3.269568507578661e-05,4.987620195499474e-06
3.375214282929656e-05,4.732825805384223e-06
3.4335833534726886e-05,5.7185661358459295e-06
3.8673249713540455e-05,8.985068798765675e-06
3.7099890312210076e-05,2.817003247343407e-06
3.601776858313919e-05,6.005150711440892e-06
4.010613548244241e-05,1.0395929444254848e-05
3.529608237022845e-05,6.064382856934968e-06
3.4810728310637595e-05,5.082634521927682e-06
3.2898611749953106e-05,7.467487639738972e-06
3.396078269876921e-05,9.383804455805423e-06
3.7437870694217945e-05,8.564349307213577e-06
3.638176973497882e-05,3.4263206701505367e-06
3.390560002803704e-05,9.311567054500799e-06
3.6124568190785534e-05,6.411105021297652e-06
3.3584630915965036e-05,6.818205887685203e-06
3.4569056850045464e-05,5.895106915782445e-06
3.866389223231411e-05,4.2703554163362575e-06
3.386149073675094e-05,6.2322460259926885e-06
3.6325357330902e-05,6.176286626178831e-06
3.244717190044877e-05,6.385215576985872e-06
3.970778352441795e-05,1.2524964098753326e-05
3.883283884569234e-05,6.799558205191982e-06
3.512472150468038e-05,5.946902522800121e-06
3.517106612431273e-05,9.44268896041463e-06
3.444902874006625e-05,5.2233567282232215e-06
3.4457756104489226e-05,6.1289844372363394e-06
3.5009213789064986e-05,6.185585833964361e-06
3.397534828933191e-05,7.376972684212581e-06
3.5073171503108327e-05,7.58751089490075e-06
3.7100898990666686e-05,5.198515884021701e-06
3.8758471841958724e-05,1.286440437308627e-05
3.8337429743839936e-05,1.0981083761406006e-05
3.0589778065537754e-05,7.07586494992394e-06
3.942188767839149e-05,9.71446139104291e-06
